,PROVINCIA,CPROV,MUNICIPIO,CP
0,02-ALBACETE,02,02001-ABENGIBRE,02001
1,02-ALBACETE,02,02002-ALATOZ,02002
2,02-ALBACETE,02,02900-ALBACETE,02900
3,02-ALBACETE,02,02004-ALBATANA,02004
4,02-ALBACETE,02,02005-ALBOREA,02005
5,02-ALBACETE,02,02006-ALCADOZO,02006
6,02-ALBACETE,02,02007-ALCALA DEL JUCAR,02007
7,02-ALBACETE,02,02008-ALCARAZ,02008
8,02-ALBACETE,02,02009-ALMANSA,02009
9,02-ALBACETE,02,02010-ALPERA,02010
10,02-ALBACETE,02,02011-AYNA,02011
11,02-ALBACETE,02,02012-BALAZOTE,02012
12,02-ALBACETE,02,02013-BALSA DE VES,02013
13,02-ALBACETE,02,02015-BARRAX,02015
14,02-ALBACETE,02,02016-BIENSERVIDA,02016
15,02-ALBACETE,02,02017-BOGARRA,02017
16,02-ALBACETE,02,02018-BONETE,02018
17,02-ALBACETE,02,02020-CARCELEN,02020
18,02-ALBACETE,02,02021-CASAS DE JUAN NUÑEZ,02021
19,02-ALBACETE,02,02022-CASAS DE LAZARO,02022
20,02-ALBACETE,02,02023-CASAS DE VES,02023
21,02-ALBACETE,02,02024-CASAS IBAÑEZ,02024
22,02-ALBACETE,02,02025-CAUDETE,02025
23,02-ALBACETE,02,02026-CENIZATE,02026
24,02-ALBACETE,02,02029-CHINCHILLA DE MONTE ARAGON,02029
25,02-ALBACETE,02,02027-CORRAL RUBIO,02027
26,02-ALBACETE,02,02028-COTILLAS,02028
27,02-ALBACETE,02,02014-EL BALLESTERO,02014
28,02-ALBACETE,02,02019-EL BONILLO,02019
29,02-ALBACETE,02,02030-ELCHE DE LA SIERRA,02030
30,02-ALBACETE,02,02031-FEREZ,02031
31,02-ALBACETE,02,02032-FUENSANTA,02032
32,02-ALBACETE,02,02033-FUENTE ALAMO,02033
33,02-ALBACETE,02,02034-FUENTEALBILLA,02034
34,02-ALBACETE,02,02036-GOLOSALVO,02036
35,02-ALBACETE,02,02037-HELLIN,02037
36,02-ALBACETE,02,02039-HIGUERUELA,02039
37,02-ALBACETE,02,02040-HOYA GONZALO,02040
38,02-ALBACETE,02,02041-JORQUERA,02041
39,02-ALBACETE,02,02035-LA GINETA,02035
40,02-ALBACETE,02,02038-LA HERRERA,02038
41,02-ALBACETE,02,02066-LA RECUEJA,02066
42,02-ALBACETE,02,02069-LA RODA,02069
43,02-ALBACETE,02,02042-LETUR,02042
44,02-ALBACETE,02,02043-LEZUZA,02043
45,02-ALBACETE,02,02044-LIETOR,02044
46,02-ALBACETE,02,02045-MADRIGUERAS,02045
47,02-ALBACETE,02,02046-MAHORA,02046
48,02-ALBACETE,02,02047-MASEGOSO,02047
49,02-ALBACETE,02,02048-MINAYA,02048
50,02-ALBACETE,02,02049-MOLINICOS,02049
51,02-ALBACETE,02,02050-MONTALVOS,02050
52,02-ALBACETE,02,02051-MONTEALEGRE DEL CASTILLO,02051
53,02-ALBACETE,02,02052-MOTILLEJA,02052
54,02-ALBACETE,02,02053-MUNERA,02053
55,02-ALBACETE,02,02054-NAVAS DE JORQUERA,02054
56,02-ALBACETE,02,02055-NERPIO,02055
57,02-ALBACETE,02,02056-ONTUR,02056
58,02-ALBACETE,02,02057-OSSA DE MONTIEL,02057
59,02-ALBACETE,02,02058-PATERNA DEL MADERA,02058
60,02-ALBACETE,02,02061-PETROLA,02061
61,02-ALBACETE,02,02060-PEÑAS DE SAN PEDRO,02060
62,02-ALBACETE,02,02059-PEÑASCOSA,02059
63,02-ALBACETE,02,02062-POVEDILLA,02062
64,02-ALBACETE,02,02087-POZO CAÑADA,02087
65,02-ALBACETE,02,02064-POZO LORENTE,02064
66,02-ALBACETE,02,02063-POZOHONDO,02063
67,02-ALBACETE,02,02065-POZUELO,02065
68,02-ALBACETE,02,02067-RIOPAR,02067
69,02-ALBACETE,02,02068-ROBLEDO,02068
70,02-ALBACETE,02,02070-SALOBRE,02070
71,02-ALBACETE,02,02071-SAN PEDRO,02071
72,02-ALBACETE,02,02072-SOCOVOS,02072
73,02-ALBACETE,02,02073-TARAZONA DE LA MANCHA,02073
74,02-ALBACETE,02,02074-TOBARRA,02074
